date,ticker,trend_price_to_simple_moving_average_12_ratio,oscillator_relative_strength_index_14,volatility_average_true_range_14,volatility_average_true_range_14_normalized,market_strength_average_directional_index_14,market_strength_moving_average_convergence_divergence_histogram,monthly_high,monthly_low,position_within_monthly_range,percent_distance_from_monthly_high,percent_distance_from_monthly_low
2000-01-31,AEFES,,,,,,,,,,,
2000-01-31,AGHOL,,,,,,,,,,,
2000-01-31,AKBNK,,,,,,,0.589,0.429,0.0937500000000001,-0.24617996604414255,0.034965034965034995
2000-01-31,AKSA,,,,,,,0.029,0.02,0.3333333333333332,-0.20689655172413798,0.14999999999999997
2000-01-31,AKSEN,,,,,,,,,,,
2000-01-31,ALARK,,,,,,,1.205,0.73,0.5115789473684209,-0.19253112033195027,0.33287671232876714
2000-01-31,ALFAS,,,,,,,,,,,
2000-01-31,ALTNY,,,,,,,,,,,
2000-01-31,ANSGR,,,,,,,0.048,0.032,0.18750000000000017,-0.27083333333333326,0.09375000000000008
2000-01-31,ARCLK,,,,,,,1.733,1.277,0.1206140350877196,-0.23139065204847087,0.04306969459671117
2000-01-31,ASELS,,,,,,,0.061,0.041,0.35000000000000003,-0.21311475409836061,0.17073170731707316
2000-01-31,ASTOR,,,,,,,,,,,
2000-01-31,AVPGY,,,,,,,,,,,
2000-01-31,BALSU,,,,,,,,,,,
2000-01-31,BERA,,,,,,,,,,,
2000-01-31,BIMAS,,,,,,,,,,,
2000-01-31,BINHO,,,,,,,,,,,
2000-01-31,BRSAN,,,,,,,0.329,0.198,0.34351145038167924,-0.26139817629179335,0.22727272727272718
2000-01-31,BRYAT,,,,,,,1.254,0.611,0.3421461897356143,-0.33732057416267947,0.3600654664484451
2000-01-31,BSOKE,,,,,,,,,,,
2000-01-31,BTCIM,,,,,,,0.022,0.013,0.3333333333333335,-0.27272727272727265,0.23076923076923084
2000-01-31,CANTE,,,,,,,,,,,
2000-01-31,CCOLA,,,,,,,,,,,
2000-01-31,CIMSA,,,,,,,0.084,0.049,0.45714285714285713,-0.22619047619047622,0.32653061224489793
2000-01-31,CLEBI,,,,,,,0.554,0.333,0.8190045248868777,-0.072202166064982,0.5435435435435435
2000-01-31,CWENE,,,,,,,,,,,
2000-01-31,DOAS,,,,,,,,,,,
2000-01-31,DOHOL,,,,,,,0.938,0.604,0.21856287425149723,-0.27825159914712144,0.120860927152318
2000-01-31,DSTKF,,,,,,,,,,,
2000-01-31,EFORC,,,,,,,,,,,
2000-01-31,EGEEN,,,,,,,3.77,1.73,0.32352941176470595,-0.36604774535809015,0.3815028901734105
2000-01-31,EKGYO,,,,,,,,,,,
2000-01-31,ENERY,,,,,,,,,,,
2000-01-31,ENJSA,,,,,,,,,,,
2000-01-31,ENKAI,,,,,,,,,,,
2000-01-31,EREGL,,,,,,,0.062,0.042,0.049999999999999704,-0.30645161290322587,0.023809523809523662
2000-01-31,EUPWR,,,,,,,,,,,
2000-01-31,FENER,,,,,,,,,,,
2000-01-31,FROTO,,,,,,,0.067,0.04,0.22222222222222213,-0.3134328358208956,0.14999999999999997
2000-01-31,GARAN,,,,,,,0.617,0.392,0.3022222222222223,-0.25445705024311177,0.17346938775510204
2000-01-31,GENIL,,,,,,,,,,,
2000-01-31,GESAN,,,,,,,,,,,
2000-01-31,GLRMK,,,,,,,,,,,
2000-01-31,GRSEL,,,,,,,,,,,
2000-01-31,GRTHO,,,,,,,,,,,
2000-01-31,GSRAY,,,,,,,,,,,
2000-01-31,GUBRF,,,,,,,0.167,0.11,0.368421052631579,-0.2155688622754491,0.19090909090909094
2000-01-31,HALKB,,,,,,,,,,,
2000-01-31,HEKTS,,,,,,,0.003,0.002,0.0,-0.3333333333333333,0.0
2000-01-31,IEYHO,,,,,,,33.367,10.899,0.7029553142246753,-0.20001798183834316,1.4491237728231952
2000-01-31,IPEKE,,,,,,,,,,,
2000-01-31,ISCTR,,,,,,,0.212,0.138,0.2567567567567567,-0.25943396226415094,0.13768115942028977
2000-01-31,ISMEN,,,,,,,,,,,
2000-01-31,KCAER,,,,,,,,,,,
2000-01-31,KCHOL,,,,,,,1.757,1.236,0.3608445297504798,-0.18952760387023335,0.15210355987055013
2000-01-31,KONTR,,,,,,,,,,,
2000-01-31,KOZAA,,,,,,,,,,,
2000-01-31,KOZAL,,,,,,,,,,,
2000-01-31,KRDMD,,,,,,,0.143,0.076,0.4328358208955224,-0.2657342657342657,0.381578947368421
2000-01-31,KTLEV,,,,,,,,,,,
2000-01-31,KUYAS,,,,,,,,,,,
2000-01-31,LMKDC,,,,,,,,,,,
2000-01-31,MAGEN,,,,,,,,,,,
2000-01-31,MAVI,,,,,,,,,,,
2000-01-31,MGROS,,,,,,,4.185,2.816,0.4287801314828344,-0.1868578255675029,0.2084517045454546
2000-01-31,MIATK,,,,,,,,,,,
2000-01-31,MPARK,,,,,,,,,,,
2000-01-31,OBAMS,,,,,,,,,,,
2000-01-31,ODAS,,,,,,,,,,,
2000-01-31,OTKAR,,,,,,,0.597,0.327,0.662962962962963,-0.15242881072026795,0.547400611620795
2000-01-31,OYAKC,,,,,,,0.024,0.014,0.3999999999999998,-0.25000000000000006,0.2857142857142856
2000-01-31,PASEU,,,,,,,,,,,
2000-01-31,PETKM,,,,,,,1.387,0.802,0.2615384615384614,-0.311463590483057,0.1907730673316707
2000-01-31,PGSUS,,,,,,,,,,,
2000-01-31,RALYH,,,,,,,0.18,0.068,0.5714285714285715,-0.2666666666666666,0.9411764705882353
2000-01-31,REEDR,,,,,,,,,,,
2000-01-31,SAHOL,,,,,,,1.54,1.091,0.13140311804008895,-0.25324675324675333,0.05407882676443625
2000-01-31,SASA,,,,,,,0.008,0.005,0.3333333333333333,-0.25,0.2
2000-01-31,SISE,,,,,,,0.447,0.248,0.2412060301507537,-0.33780760626398215,0.19354838709677413
2000-01-31,SKBNK,,,,,,,0.315,0.204,0.34234234234234234,-0.23174603174603178,0.1862745098039216
2000-01-31,SMRTG,,,,,,,,,,,
2000-01-31,SOKM,,,,,,,,,,,
2000-01-31,TABGD,,,,,,,,,,,
2000-01-31,TAVHL,,,,,,,,,,,
2000-01-31,TCELL,,,,,,,,,,,
2000-01-31,THYAO,,,,,,,2.342,1.307,0.4589371980676329,-0.23911187019641333,0.3634276970160674
2000-01-31,TKFEN,,,,,,,,,,,
2000-01-31,TOASO,,,,,,,0.462,0.269,0.22797927461139889,-0.3225108225108225,0.16356877323420066
2000-01-31,TSKB,,,,,,,0.044,0.021,0.43478260869565216,-0.2954545454545454,0.4761904761904761
2000-01-31,TTKOM,,,,,,,,,,,
2000-01-31,TTRAK,,,,,,,,,,,
2000-01-31,TUPRS,,,,,,,0.484,0.302,0.12637362637362648,-0.32851239669421484,0.07615894039735106
2000-01-31,TUREX,,,,,,,,,,,
2000-01-31,TURSG,,,,,,,0.041,0.024,0.41176470588235287,-0.2439024390243903,0.29166666666666663
2000-01-31,ULKER,,,,,,,1.46,0.8,0.49999999999999983,-0.22602739726027402,0.4124999999999998
2000-01-31,VAKBN,,,,,,,,,,,
2000-01-31,VESTL,,,,,,,4.233,2.907,0.38536953242835614,-0.19253484526340647,0.17578259373925012
2000-01-31,YEOTK,,,,,,,,,,,
2000-01-31,YKBNK,,,,,,,1.076,0.74,0.4583333333333333,-0.16914498141263945,0.20810810810810815
2000-01-31,ZOREN,,,,,,,,,,,
2000-02-29,AEFES,,,,,,,,,,,
2000-02-29,AGHOL,,,,,,,0.187,0.109,0.08974358974358983,-0.3796791443850267,0.06422018348623859
2000-02-29,AKBNK,,,,,,,0.452,0.306,0.36986301369863006,-0.2035398230088496,0.1764705882352941
2000-02-29,AKSA,,,,,,,0.025,0.017,0.24999999999999978,-0.24000000000000007,0.1176470588235293
2000-02-29,AKSEN,,,,,,,,,,,
2000-02-29,ALARK,,,,,,,0.997,0.649,0.49999999999999983,-0.17452357071213645,0.2681047765793527
2000-02-29,ALFAS,,,,,,,,,,,
2000-02-29,ALTNY,,,,,,,,,,,
2000-02-29,ANSGR,,,,,,,0.043,0.028,0.40000000000000024,-0.20930232558139522,0.21428571428571436
2000-02-29,ARCLK,,,,,,,1.422,0.967,0.6000000000000001,-0.12798874824191275,0.282316442605998
2000-02-29,ASELS,,,,,,,0.055,0.041,0.5714285714285715,-0.10909090909090906,0.1951219512195122
2000-02-29,ASTOR,,,,,,,,,,,
2000-02-29,AVPGY,,,,,,,,,,,
2000-02-29,BALSU,,,,,,,,,,,
2000-02-29,BERA,,,,,,,,,,,
2000-02-29,BIMAS,,,,,,,,,,,
2000-02-29,BINHO,,,,,,,,,,,
2000-02-29,BRSAN,,,,,,,0.348,0.202,0.8698630136986304,-0.05459770114942518,0.6287128712871287
2000-02-29,BRYAT,,,,,,,1.287,0.782,0.9029702970297031,-0.038073038073038024,0.5831202046035805
